"ネット名";"ネットクラス";"ネット長 (mm)";"ビア カウント";"ビア長さ (mm)";"配線長 (mm)";"ダイの長さ (mm)";"パッド数";"F.Cu (mm)";"B.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";
"/L8_IOT19B_40P";"Default";33.7621;0;0.0000;33.7621;0.0000;2;33.7621;0.0000;0.0000;0.0000;
"/L10_IOT15A_40P";"Default";35.3692;0;0.0000;35.3692;0.0000;2;35.3692;0.0000;0.0000;0.0000;
"/K10_IOT15B_40P";"Default";36.7403;0;0.0000;36.7403;0.0000;2;36.7403;0.0000;0.0000;0.0000;
"/K11_IOT11A";"Default";38.5353;0;0.0000;38.5353;0.0000;2;38.5353;0.0000;0.0000;0.0000;
"/D11_IOL9A";"Default";33.6738;2;3.1600;30.5138;0.0000;3;12.2959;18.2179;0.0000;0.0000;
"/L11_IOT11B";"Default";40.0177;0;0.0000;40.0177;0.0000;2;40.0177;0.0000;0.0000;0.0000;
"/D10_IOL9B";"Default";29.2784;2;3.1600;26.1184;0.0000;3;11.1452;14.9732;0.0000;0.0000;
"/C11_IOL5A";"Default";34.3946;2;3.1600;31.2346;0.0000;3;11.0618;20.1728;0.0000;0.0000;
"/E11_IOL3A";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/C10_IOL5B";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/E10_IOL3B";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/B11_IOL12A";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/A11_IOL14A";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/B10_IOL12B";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/A10_IOL14B";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/USB_SSTX_P";"USB3_90ohm と Default";7.3160;0;0.0000;7.3160;0.0000;4;7.3160;0.0000;0.0000;0.0000;
"/USB_SSRX_N";"USB3_90ohm と Default";9.8808;0;0.0000;9.8808;0.0000;4;9.8808;0.0000;0.0000;0.0000;
"/USB_SSRX_P";"USB3_90ohm と Default";9.9551;0;0.0000;9.9551;0.0000;4;9.9551;0.0000;0.0000;0.0000;
"/PGOOD";"Default";0.0000;0;0.0000;0.0000;0.0000;2;0.0000;0.0000;0.0000;0.0000;
"Net-(U4-SW)";"Default";3.6501;0;0.0000;3.6501;0.0000;2;3.6501;0.0000;0.0000;0.0000;
"+5V";"Default";25.4505;9;1.5800;23.8705;0.0000;12;23.8705;0.0000;0.0000;0.0000;
"+1V8";"Default";3.7314;2;0.0000;3.7314;0.0000;3;3.7314;0.0000;0.0000;0.0000;
"Net-(U1-XO)";"Default";9.5827;0;0.0000;9.5827;0.0000;3;9.5827;0.0000;0.0000;0.0000;
"Net-(U1-XI)";"Default";8.3088;0;0.0000;8.3088;0.0000;3;8.3088;0.0000;0.0000;0.0000;
"/FT601_D11";"Default";2.2024;0;0.0000;2.2024;0.0000;2;2.2024;0.0000;0.0000;0.0000;
"/FT601_D10";"Default";2.2024;0;0.0000;2.2024;0.0000;2;2.2024;0.0000;0.0000;0.0000;
"/FT601_D9";"Default";2.2024;0;0.0000;2.2024;0.0000;2;2.2024;0.0000;0.0000;0.0000;
"/FT601_D8";"Default";2.2024;0;0.0000;2.2024;0.0000;2;2.2024;0.0000;0.0000;0.0000;
"Net-(U1-RREF)";"Default";0.0000;0;0.0000;0.0000;0.0000;2;0.0000;0.0000;0.0000;0.0000;
"/FT601_TXE";"Default";5.8152;0;0.0000;5.8152;0.0000;2;5.8152;0.0000;0.0000;0.0000;
"/G2_IOR24A_40P";"Default";19.2838;0;0.0000;19.2838;0.0000;2;19.2838;0.0000;0.0000;0.0000;
"/FT601_D27";"Default";2.0939;0;0.0000;2.0939;0.0000;2;2.0939;0.0000;0.0000;0.0000;
"/FT601_D26";"Default";2.0939;0;0.0000;2.0939;0.0000;2;2.0939;0.0000;0.0000;0.0000;
"/FT601_D25";"Default";2.0939;0;0.0000;2.0939;0.0000;2;2.0939;0.0000;0.0000;0.0000;
"/FT601_D24";"Default";2.0939;0;0.0000;2.0939;0.0000;2;2.0939;0.0000;0.0000;0.0000;
"VCCIO33";"Default";0.0000;0;0.0000;0.0000;0.0000;3;0.0000;0.0000;0.0000;0.0000;
"/FT601_D15";"Default";2.3032;0;0.0000;2.3032;0.0000;2;2.3032;0.0000;0.0000;0.0000;
"/FT601_D14";"Default";2.3267;0;0.0000;2.3267;0.0000;2;2.3267;0.0000;0.0000;0.0000;
"/FT601_D13";"Default";2.3267;0;0.0000;2.3267;0.0000;2;2.3267;0.0000;0.0000;0.0000;
"/FT601_D12";"Default";2.3267;0;0.0000;2.3267;0.0000;2;2.3267;0.0000;0.0000;0.0000;
"Net-(U5-EN)";"Default";2.2592;0;0.0000;2.2592;0.0000;3;2.2592;0.0000;0.0000;0.0000;
"/MIPI_GPIO0";"Default";4.9423;0;0.0000;4.9423;0.0000;3;4.9423;0.0000;0.0000;0.0000;
"+2V5";"Default";5.9241;4;0.0000;5.9241;0.0000;3;5.9241;0.0000;0.0000;0.0000;
"/FT601_D3";"Default";2.2267;0;0.0000;2.2267;0.0000;2;2.2267;0.0000;0.0000;0.0000;
"/FT601_D2";"Default";2.2267;0;0.0000;2.2267;0.0000;2;2.2267;0.0000;0.0000;0.0000;
"/FT601_D1";"Default";2.2267;0;0.0000;2.2267;0.0000;2;2.2267;0.0000;0.0000;0.0000;
"/FT601_D0";"Default";2.2267;0;0.0000;2.2267;0.0000;2;2.2267;0.0000;0.0000;0.0000;
"/FT601_TODP";"USB3_90ohm と Default";3.5905;0;0.0000;3.5905;0.0000;2;3.5905;0.0000;0.0000;0.0000;
"/FT601_GPIO0";"Default";4.1083;0;0.0000;4.1083;0.0000;2;4.1083;0.0000;0.0000;0.0000;
"/H1_IOB91A_40P";"Default";30.4814;0;0.0000;30.4814;0.0000;2;30.4814;0.0000;0.0000;0.0000;
"/B2_IOB4A_40P";"Default";1.5461;1;0.0000;1.5461;0.0000;2;1.5461;0.0000;0.0000;0.0000;
"/A1_IOB24A_40P";"Default";2.5938;1;0.0000;2.5938;0.0000;2;2.5938;0.0000;0.0000;0.0000;
"/C2_IOB4B_40P";"Default";1.4487;1;0.0000;1.4487;0.0000;2;1.4487;0.0000;0.0000;0.0000;
"/PMOD_A5";"Default";0.0000;0;0.0000;0.0000;0.0000;1;0.0000;0.0000;0.0000;0.0000;
"/F2_IOB26A_40P";"Default";2.3588;1;0.0000;2.3588;0.0000;2;2.3588;0.0000;0.0000;0.0000;
"/E1_IOB12B_40P";"Default";3.4138;1;0.0000;3.4138;0.0000;2;3.4138;0.0000;0.0000;0.0000;
"/F1_IOB26B_40P";"Default";3.2041;1;0.0000;3.2041;0.0000;2;3.2041;0.0000;0.0000;0.0000;
"/D1_IOB14B_40P";"Default";2.9754;1;0.0000;2.9754;0.0000;2;2.9754;0.0000;0.0000;0.0000;
